instance,n,algorithm,initial_len,initial_gap_pct,2opt_len,2opt_gap_pct,3opt_len,3opt_gap_pct,init_time,2opt_time,3opt_time
Tnm139.tsp,139,MHLPQI,2118870.482545571,,2114781.260620911,,2114781.260620911,,0.006536200002301484,0.012750199995934963,0.40063889999873936
Tnm139.tsp,139,HullRot-LPQI,2158562.509877806,,2158562.509877806,,2158562.509877806,,1.605468199995812,0.006529200007207692,0.4237046000198461
Tnm142.tsp,142,LPQI,2222239.229503972,,2214108.397278274,,2214108.397278274,,0.24927980001666583,0.019749300001421943,0.42153290001442656
Tnm142.tsp,142,MHLPQI,2192944.2501487066,,2190252.878019687,,2190252.878019687,,0.006864599999971688,0.01409899999271147,0.4282048000022769
Tnm142.tsp,142,HullRot-LPQI,2222239.229503972,,2214108.397278274,,2214108.397278274,,1.7233362999977544,0.020533099974272773,0.42098510000505485
Tnm145.tsp,145,LPQI,2286075.356590665,,2286075.356590665,,2286075.356590665,,0.2593831999984104,0.006995100004132837,0.4692415999888908
Tnm145.tsp,145,MHLPQI,2241151.5632387735,,2239823.7725584023,,2239823.7725584023,,0.007164000009652227,0.014247500017518178,0.45067479999852367
Tnm145.tsp,145,HullRot-LPQI,2286075.356590665,,2286075.356590665,,2286075.356590665,,1.819390199991176,0.006963799998629838,0.4483137999777682
Tnm148.tsp,148,LPQI,2319048.924333507,,2319048.924333507,,2319048.924333507,,0.27836529997875914,0.007229399983771145,0.48196860001189634
Tnm148.tsp,148,MHLPQI,2306092.327592188,,2306092.327592188,,2306092.327592188,,0.007207600021502003,0.00795180001296103,0.48553760000504553
Tnm148.tsp,148,HullRot-LPQI,2310528.7939382466,,2309796.95656293,,2309796.95656293,,1.933726299990667,0.014483100007055327,0.48914350001723506
Tnm151.tsp,151,LPQI,2413911.948093738,,2404387.4912790614,,2404387.4912790614,,0.29478589998325333,0.022563599981367588,0.5161786999960896
Tnm151.tsp,151,MHLPQI,2360850.751847224,,2360850.751847224,,2360850.751847224,,0.0074708000174723566,0.008786299993516877,0.5115586000028998
Tnm151.tsp,151,HullRot-LPQI,2413911.948093738,,2404387.4912790614,,2404387.4912790614,,2.0590901999967173,0.022458799998275936,0.5129212999891024
Tnm154.tsp,154,LPQI,2475422.6537921387,,2465646.4788243594,,2465646.4788243594,,0.3110283999994863,0.023530000005848706,0.5688494000060018
Tnm154.tsp,154,MHLPQI,2422269.75432916,,2422269.75432916,,2422269.75432916,,0.007913100009318441,0.007731999998213723,0.5587777000037022
Tnm154.tsp,154,HullRot-LPQI,2475422.6537921387,,2465646.4788243594,,2465646.4788243594,,2.33279409998795,0.02557989998604171,0.5632346000056714
Tnm157.tsp,157,LPQI,2536992.3794855373,,2518231.5761985527,,2518231.5761985527,,0.35673930001212284,0.029075500002363697,0.6285086999996565
Tnm157.tsp,157,MHLPQI,2482511.1495171213,,2482511.1157100545,,2482511.1157100545,,0.008394500007852912,0.01740569999674335,0.6013941999990493
