inst,n,alg,len,gap,init_t,lk_t
Tnm166.tsp,166,MHLPQI,2608117.957901582,,0.009027199994307011,0.006353800010401756
Tnm166.tsp,166,HullRot,2641714.05741407,,0.6599582000053488,0.006649600021773949
Tnm169.tsp,169,LPQI,2701488.014478913,,0.34213599999202415,0.007175600010668859
Tnm169.tsp,169,MHLPQI,2680746.1201023674,,0.010420699982205406,0.006733299989718944
Tnm169.tsp,169,HullRot,2701488.014478913,,0.6892244999762625,0.006899600004544482
Tnm172.tsp,172,LPQI,2764052.3105226355,,0.3598865999956615,0.006942200008779764
Tnm172.tsp,172,MHLPQI,2734218.9075457733,,0.011116800014860928,0.006377600017003715
Tnm172.tsp,172,HullRot,2764052.3105226355,,0.7133351999800652,0.0069654999824706465
Tnm175.tsp,175,LPQI,2822221.147231487,,0.3678889000148047,0.006493000022601336
Tnm175.tsp,175,MHLPQI,2798878.622376644,,0.011414799984777346,0.0067365999857429415
Tnm175.tsp,175,HullRot,2822221.147231487,,0.7636576000077184,0.006537999986903742
Tnm178.tsp,178,LPQI,2885129.3642056067,,0.4063495000009425,0.006823900010203943
Tnm178.tsp,178,MHLPQI,2839884.064104839,,0.01036380001460202,0.007134499988751486
Tnm178.tsp,178,HullRot,2848343.876170989,,0.8535466000030283,0.008491400018101558
Tnm181.tsp,181,LPQI,2947896.331720045,,0.42917749998741783,0.006975500000407919
Tnm181.tsp,181,MHLPQI,2945683.392567089,,0.011090700019849464,0.006854800012661144
Tnm181.tsp,181,HullRot,2947896.331720045,,0.8560903000179678,0.007816600002115592
Tnm184.tsp,184,LPQI,3008434.0640732744,,0.4517131999891717,0.006913299992447719
Tnm184.tsp,184,MHLPQI,2961446.737623002,,0.011049599997932091,0.006742099998518825
Tnm184.tsp,184,HullRot,3007794.0978713715,,0.8732764000014868,0.007599900010973215
Tnm187.tsp,187,LPQI,3070638.3593801092,,0.4856904000043869,0.007053200009977445
Tnm187.tsp,187,MHLPQI,3023616.561402122,,0.012311300000874326,0.0069213000242598355
Tnm187.tsp,187,HullRot,3070638.3593801092,,0.9074838999949861,0.007212600001366809
